Grid count: 105
ModeA, all players visit all tiles
Player 4 visited (13, 4)
Player 2 visited (6, 2)
Player 0 visited (8, 7)
Player 4 visited (12, 4)
Player 3 visited (1, 10)
Player 1 visited (4, 7)
Player 1 visited (4, 8)
Player 4 visited (13, 3)
Player 3 visited (1, 11)
Player 4 visited (12, 3)
Player 2 visited (6, 3)
Player 0 visited (9, 7)
Player 1 visited (3, 7)
Player 3 visited (1, 10)
Player 4 visited (12, 2)
Player 2 visited (6, 4)
Player 0 visited (10, 7)
Player 1 visited (2, 7)
Player 3 visited (1, 9)
Player 4 visited (12, 1)
Player 2 visited (6, 5)
Player 0 visited (11, 7)
Player 4 visited (11, 1)
Player 1 visited (1, 7)
Player 3 visited (1, 8)
Player 2 visited (6, 4)
Player 0 visited (12, 7)
Player 4 visited (10, 1)
Player 1 visited (2, 7)
Player 3 visited (1, 7)
Player 2 visited (6, 3)
Player 0 visited (13, 7)
Player 4 visited (9, 1)
Player 1 visited (3, 7)
Player 3 visited (1, 6)
Player 0 visited (13, 8)
Player 2 visited (6, 2)
Player 4 visited (8, 1)
Player 1 visited (4, 7)
Player 3 visited (1, 5)
Player 2 visited (6, 1)
Player 4 visited (7, 1)
Player 2 visited (7, 1)
Player 1 visited (4, 8)
Player 1 visited (5, 7)
Player 1 visited (5, 8)
Player 3 visited (1, 4)
Player 1 visited (6, 8)
Player 1 visited (6, 7)
Player 3 visited (1, 3)
Player 4 visited (6, 1)
Player 0 visited (10, 8)
Player 2 visited (8, 1)
Player 1 visited (7, 8)
Player 3 visited (1, 2)
Player 4 visited (5, 1)
Player 0 visited (9, 8)
Player 2 visited (9, 1)
Player 1 visited (8, 8)
Player 3 visited (1, 1)
Player 4 visited (4, 1)
Player 0 visited (8, 8)
Player 4 visited (4, 2)
Player 2 visited (10, 1)
Player 3 visited (1, 2)
Player 1 visited (9, 8)
Player 0 visited (7, 8)
Player 4 visited (4, 3)
Player 2 visited (11, 1)
Player 3 visited (1, 3)
Player 1 visited (10, 8)
Player 3 visited (2, 3)
Player 0 visited (6, 8)
Player 4 visited (4, 4)
Player 2 visited (12, 1)
Player 1 visited (10, 9)
Player 3 visited (2, 4)
Player 3 visited (1, 4)
Player 2 visited (12, 2)
Player 0 visited (5, 8)
Player 4 visited (4, 5)
Player 2 visited (13, 2)
Player 3 visited (2, 5)
Player 0 visited (4, 8)
Player 4 visited (4, 6)
Player 2 visited (13, 3)
Player 0 visited (4, 9)
Player 3 visited (2, 6)
Player 1 visited (13, 9)
Player 4 visited (4, 7)
Player 2 visited (13, 4)
Player 4 visited (5, 7)
Player 3 visited (2, 7)
Player 0 visited (4, 10)
Player 3 visited (3, 7)
Player 0 visited (3, 10)
Player 2 visited (13, 5)
Player 2 visited (12, 5)
Player 2 visited (12, 4)
Player 4 visited (6, 7)
Player 0 visited (4, 10)
Player 3 visited (4, 7)
Player 2 visited (13, 6)
Player 2 visited (12, 6)
Player 0 visited (4, 9)
Player 1 visited (10, 9)
Player 1 visited (10, 8)
Player 4 visited (7, 7)
Player 4 visited (6, 8)
Player 4 visited (7, 8)
Player 3 visited (5, 7)
Player 2 visited (13, 7)
Player 2 visited (12, 7)
Player 1 visited (9, 8)
Player 0 visited (4, 8)
Player 4 visited (8, 8)
Player 4 visited (8, 7)
Player 3 visited (5, 8)
Player 0 visited (5, 8)
Player 3 visited (6, 7)
Player 3 visited (6, 8)
Player 2 visited (13, 8)
Player 1 visited (8, 8)
Player 4 visited (9, 8)
Player 0 visited (6, 8)
Player 3 visited (7, 8)
Player 3 visited (7, 7)
Player 1 visited (7, 8)
Player 4 visited (10, 8)
Player 3 visited (8, 8)
Player 0 visited (7, 8)
Player 4 visited (10, 9)
Player 2 visited (12, 10)
Player 1 visited (6, 8)
Player 0 visited (8, 8)
Player 3 visited (9, 8)
Player 2 visited (12, 11)
Player 1 visited (6, 7)
Player 4 visited (10, 10)
Player 4 visited (11, 10)
Player 1 visited (5, 8)
Player 1 visited (5, 7)
Player 2 visited (12, 10)
Player 0 visited (9, 8)
Player 3 visited (10, 8)
Player 4 visited (11, 11)
Player 2 visited (11, 10)
Player 2 visited (11, 11)
Player 3 visited (10, 9)
Player 1 visited (4, 7)
Player 0 visited (10, 8)
Player 4 visited (11, 12)
Player 0 visited (10, 9)
Player 3 visited (10, 10)
Player 1 visited (3, 7)
Player 4 visited (12, 12)
Player 2 visited (10, 9)
Player 3 visited (11, 10)
Player 4 visited (12, 13)
Player 3 visited (11, 11)
Player 1 visited (2, 7)
Player 2 visited (10, 8)
Player 1 visited (2, 6)
Player 2 visited (9, 8)
Player 4 visited (12, 12)
Player 0 visited (12, 10)
Player 3 visited (11, 12)
Player 1 visited (1, 6)
Player 0 visited (13, 10)
Player 2 visited (8, 8)
Player 4 visited (12, 11)
Player 3 visited (12, 12)
Player 3 visited (11, 13)
Player 3 visited (12, 13)
Player 1 visited (1, 5)
Player 2 visited (7, 8)
Player 0 visited (12, 10)
Player 4 visited (12, 10)
Player 3 visited (12, 14)
Player 1 visited (2, 5)
Player 1 visited (1, 4)
Player 2 visited (7, 7)
Player 1 visited (2, 4)
Player 2 visited (6, 8)
Player 2 visited (6, 7)
Player 3 visited (12, 13)
Player 1 visited (2, 3)
Player 1 visited (1, 3)
Player 2 visited (5, 7)
Player 4 visited (13, 9)
Player 4 visited (13, 8)
Player 0 visited (10, 9)
Player 3 visited (12, 12)
Player 1 visited (2, 2)
Player 0 visited (10, 8)
Player 2 visited (4, 7)
Player 4 visited (12, 7)
Player 4 visited (13, 7)
Player 0 visited (9, 8)
Player 3 visited (12, 11)
Player 1 visited (2, 1)
Player 2 visited (3, 7)
Player 4 visited (13, 6)
Player 4 visited (12, 6)
Player 3 visited (12, 10)
Player 1 visited (3, 1)
Player 0 visited (8, 8)
Player 0 visited (8, 7)
Player 3 visited (13, 10)
Player 2 visited (2, 7)
Player 4 visited (13, 5)
Player 4 visited (12, 5)
Player 2 visited (2, 6)
Player 1 visited (4, 1)
Player 0 visited (7, 7)
Player 3 visited (12, 10)
Player 4 visited (13, 4)
Player 1 visited (5, 1)
Player 2 visited (2, 5)
Player 0 visited (6, 7)
Player 0 visited (6, 6)
Player 4 visited (13, 3)
Player 1 visited (6, 1)
Player 2 visited (2, 4)
Player 1 visited (6, 2)
Player 4 visited (13, 2)
Player 2 visited (1, 4)
Player 3 visited (10, 9)
Player 0 visited (6, 5)
Player 2 visited (2, 3)
Player 3 visited (10, 8)
Player 2 visited (1, 3)
Player 1 visited (6, 3)
Player 4 visited (13, 1)
Player 0 visited (6, 4)
Player 3 visited (9, 8)
Player 2 visited (1, 2)
Player 1 visited (6, 4)
Player 4 visited (12, 1)
Player 3 visited (8, 8)
Player 0 visited (6, 3)
Player 2 visited (1, 1)
Player 3 visited (8, 7)
Player 1 visited (6, 5)
Player 4 visited (11, 1)
Player 2 visited (1, 2)
Player 0 visited (6, 2)
Player 3 visited (7, 7)
Player 1 visited (6, 6)
Player 4 visited (10, 1)
Player 0 visited (6, 3)
Player 2 visited (1, 3)
Player 3 visited (6, 7)
Player 4 visited (9, 1)
Player 3 visited (6, 6)
Player 0 visited (6, 4)
Player 2 visited (1, 4)
Player 4 visited (8, 1)
Player 1 visited (6, 7)
Player 0 visited (6, 5)
Player 2 visited (1, 5)
Player 1 visited (7, 7)
Player 4 visited (7, 1)
Player 3 visited (6, 5)
Player 2 visited (1, 6)
Player 0 visited (6, 6)
Player 1 visited (8, 7)
Player 4 visited (6, 1)
Player 3 visited (6, 4)
Player 2 visited (2, 6)
Player 0 visited (6, 7)
Player 1 visited (9, 7)
Player 0 visited (5, 7)
Player 2 visited (2, 7)
Player 4 visited (5, 1)
Player 3 visited (6, 3)
Player 2 visited (3, 7)
Player 1 visited (10, 7)
Player 0 visited (5, 8)
Player 4 visited (4, 1)
Player 3 visited (6, 2)
Player 0 visited (4, 8)
Player 2 visited (4, 7)
Player 1 visited (11, 7)
Player 4 visited (3, 1)
Player 2 visited (4, 6)
Player 0 visited (4, 9)
Player 3 visited (6, 1)
Player 3 visited (5, 1)
Player 1 visited (12, 7)
Player 4 visited (2, 1)
Player 2 visited (4, 5)
Player 0 visited (4, 10)
Player 4 visited (2, 2)
Player 0 visited (3, 10)
Player 1 visited (13, 7)
Player 3 visited (4, 1)
Player 2 visited (4, 4)
Player 4 visited (2, 3)
Player 1 visited (12, 7)
Player 0 visited (2, 10)
Player 3 visited (3, 1)
Player 2 visited (4, 5)
Player 4 visited (2, 4)
Player 1 visited (11, 7)
Player 4 visited (1, 4)
Player 3 visited (4, 1)
Player 0 visited (1, 10)
Player 2 visited (4, 6)
Player 3 visited (4, 2)
Player 0 visited (1, 11)
Player 4 visited (2, 5)
Player 4 visited (1, 5)
Player 1 visited (10, 7)
Player 1 visited (10, 8)
Player 2 visited (4, 7)
Player 3 visited (4, 3)
Player 0 visited (1, 12)
Player 4 visited (1, 6)
Player 1 visited (9, 7)
Player 1 visited (9, 8)
Player 2 visited (4, 8)
Player 0 visited (1, 11)
Player 3 visited (4, 4)
Player 4 visited (1, 7)
Player 1 visited (8, 8)
Player 1 visited (8, 7)
Player 2 visited (4, 9)
Player 0 visited (1, 10)
Player 3 visited (4, 5)
Player 4 visited (1, 8)
Player 1 visited (7, 8)
Player 2 visited (4, 10)
Player 3 visited (4, 4)
Player 0 visited (1, 9)
Player 2 visited (3, 10)
Player 4 visited (1, 9)
Player 1 visited (6, 8)
Player 3 visited (4, 3)
Player 0 visited (1, 8)
Player 2 visited (2, 10)
Player 1 visited (5, 8)
Player 4 visited (1, 10)
Player 3 visited (4, 2)
Player 2 visited (3, 10)
Player 0 visited (1, 7)
Player 1 visited (4, 8)
Player 4 visited (1, 11)
Player 1 visited (4, 9)
Player 3 visited (4, 1)
Player 0 visited (1, 6)
Player 2 visited (4, 10)
Player 3 visited (5, 1)
Player 4 visited (1, 12)
Player 2 visited (4, 9)
Player 1 visited (4, 10)
Player 0 visited (1, 5)
Player 3 visited (6, 1)
Player 4 visited (1, 13)
Player 2 visited (4, 8)
Player 1 visited (4, 11)
Player 0 visited (1, 4)
Player 2 visited (5, 8)
Player 3 visited (7, 1)
Player 4 visited (1, 14)
Player 4 visited (2, 14)
Player 1 visited (4, 12)
Player 0 visited (1, 3)
Player 2 visited (6, 8)
Player 3 visited (8, 1)
Player 4 visited (3, 14)
Player 0 visited (1, 2)
Player 1 visited (4, 13)
Player 2 visited (7, 8)
Player 3 visited (9, 1)
Player 2 visited (7, 7)
Player 0 visited (1, 1)
Player 1 visited (4, 14)
Player 4 visited (4, 14)
Player 2 visited (8, 8)
Player 2 visited (8, 7)
Player 3 visited (10, 1)
Player 0 visited (2, 1)
Player 2 visited (9, 7)
Player 3 visited (9, 1)
Player 4 visited (4, 13)
Player 1 visited (3, 14)
Player 0 visited (3, 1)
Player 2 visited (10, 7)
Player 3 visited (8, 1)
Player 1 visited (2, 14)
Player 0 visited (4, 1)
Player 4 visited (4, 12)
Player 3 visited (7, 1)
Player 2 visited (11, 7)
Player 1 visited (1, 14)
Player 0 visited (5, 1)
Player 4 visited (4, 11)
Player 3 visited (6, 1)
Player 2 visited (12, 7)
Player 2 visited (12, 6)
Player 1 visited (1, 13)
Player 4 visited (4, 10)
Player 0 visited (6, 1)
Player 3 visited (5, 1)
Player 2 visited (12, 5)
Player 1 visited (1, 12)
Player 4 visited (4, 9)
Player 0 visited (7, 1)
Player 3 visited (4, 1)
Player 1 visited (1, 11)
Player 2 visited (12, 4)
Player 4 visited (4, 8)
Player 0 visited (8, 1)
Player 4 visited (5, 8)
Player 3 visited (3, 1)
Player 2 visited (13, 4)
Player 1 visited (1, 10)
Player 2 visited (12, 3)
Player 2 visited (13, 3)
Player 0 visited (9, 1)
Player 4 visited (6, 8)
Player 3 visited (2, 1)
Player 3 visited (2, 2)
Player 1 visited (1, 9)
Player 2 visited (13, 2)
Player 0 visited (10, 1)
Player 4 visited (7, 8)
Player 0 visited (10, 2)
Player 1 visited (1, 8)
Player 3 visited (2, 3)
Player 2 visited (13, 1)
Player 4 visited (8, 8)
Player 0 visited (10, 3)
Player 2 visited (13, 2)
Player 1 visited (1, 7)
Player 3 visited (2, 4)
Player 1 visited (2, 7)
Player 4 visited (9, 8)
Player 0 visited (10, 4)
Player 2 visited (13, 3)
Player 3 visited (2, 5)
Player 1 visited (3, 7)
Player 4 visited (10, 8)
Player 0 visited (10, 5)
Player 2 visited (12, 3)
Player 3 visited (2, 6)
Player 4 visited (10, 9)
Player 2 visited (13, 4)
Player 2 visited (12, 4)
Player 1 visited (4, 7)
Player 0 visited (10, 6)
Player 3 visited (2, 7)
Player 2 visited (12, 5)
Player 2 visited (13, 5)
Player 3 visited (3, 7)
Player 1 visited (5, 7)
Player 0 visited (10, 5)
Player 2 visited (12, 6)
Player 4 visited (12, 10)
Player 1 visited (6, 7)
Player 3 visited (4, 7)
Player 0 visited (10, 4)
Player 4 visited (13, 10)
Player 2 visited (12, 7)
Player 1 visited (7, 7)
Player 3 visited (5, 7)
Player 0 visited (10, 3)
Player 4 visited (12, 10)
Player 4 visited (12, 11)
Player 1 visited (8, 7)
Player 3 visited (6, 7)
Player 0 visited (10, 2)
Player 1 visited (9, 7)
Player 4 visited (12, 12)
Player 3 visited (7, 7)
Player 0 visited (10, 1)
Player 0 visited (11, 1)
Player 2 visited (12, 10)
Player 1 visited (10, 7)
Player 4 visited (12, 13)
Player 2 visited (11, 10)
Player 3 visited (7, 8)
Player 3 visited (8, 7)
Player 3 visited (8, 8)
Player 1 visited (10, 6)
Player 2 visited (12, 11)
Player 2 visited (11, 11)
Player 0 visited (12, 1)
Player 4 visited (12, 14)
Player 3 visited (9, 7)
Player 3 visited (9, 8)
Player 1 visited (10, 5)
Player 2 visited (11, 12)
Player 2 visited (12, 12)
Player 0 visited (13, 1)
Player 3 visited (10, 8)
Player 3 visited (10, 7)
Player 1 visited (10, 4)
Player 0 visited (13, 2)
Player 2 visited (11, 13)
Player 1 visited (10, 3)
Player 0 visited (12, 2)
Player 2 visited (11, 14)
Player 0 visited (13, 3)
Player 0 visited (12, 3)
Player 1 visited (10, 2)
Player 0 visited (12, 4)
Player 0 visited (13, 4)
Player 3 visited (13, 8)
Player 1 visited (10, 1)
Player 0 visited (12, 5)
Player 1 visited (11, 1)
Player 3 visited (12, 7)
Player 0 visited (12, 6)
Player 1 visited (12, 1)
Player 3 visited (11, 7)
Player 0 visited (12, 7)
Player 1 visited (13, 1)
Player 0 visited (11, 7)
Player 3 visited (10, 7)
Player 3 visited (10, 6)
Player 1 visited (13, 2)
Player 0 visited (10, 7)
Player 3 visited (10, 5)
Player 1 visited (13, 3)
Player 0 visited (9, 7)
Player 3 visited (10, 4)
Player 1 visited (13, 4)
Player 1 visited (12, 3)
Player 1 visited (12, 4)
Player 0 visited (9, 8)
Player 0 visited (8, 7)
Player 0 visited (8, 8)
Player 3 visited (10, 5)
Player 1 visited (13, 5)
Player 1 visited (12, 5)
Player 0 visited (7, 8)
Player 0 visited (7, 7)
Player 3 visited (10, 6)
Player 1 visited (13, 6)
Player 1 visited (12, 6)
Player 0 visited (6, 8)
Player 3 visited (10, 7)
Player 1 visited (12, 7)
Player 1 visited (13, 7)
Player 0 visited (5, 8)
Player 3 visited (10, 8)
Player 3 visited (11, 7)
Player 0 visited (4, 8)
Player 3 visited (10, 9)
Player 0 visited (4, 9)
Player 3 visited (11, 10)
Player 3 visited (10, 10)
Player 0 visited (4, 10)
Player 1 visited (12, 10)
Player 0 visited (3, 10)
Player 3 visited (11, 11)
Player 1 visited (12, 11)
Player 0 visited (2, 10)
Player 3 visited (11, 12)
Player 1 visited (12, 12)
Player 0 visited (1, 10)
Player 3 visited (11, 13)
Player 0 visited (1, 11)
Player 1 visited (12, 13)
Player 3 visited (11, 14)
Player 1 visited (12, 12)
Player 0 visited (1, 12)
Player 1 visited (12, 11)
Player 0 visited (1, 13)
Player 3 visited (11, 13)
Player 1 visited (12, 10)
Player 0 visited (1, 12)
Player 1 visited (13, 10)
Player 3 visited (11, 12)
Player 3 visited (12, 13)
Player 3 visited (12, 12)
Player 1 visited (13, 9)
Player 0 visited (1, 11)
Player 3 visited (12, 11)
Player 3 visited (11, 11)
Player 0 visited (1, 10)
Player 1 visited (13, 8)
Player 0 visited (2, 10)
Player 3 visited (12, 10)
Player 1 visited (13, 9)
Player 0 visited (3, 10)
Player 1 visited (13, 10)
Player 1 visited (12, 10)
Player 0 visited (4, 10)
Player 3 visited (13, 9)
Player 3 visited (13, 8)
Player 0 visited (4, 9)
Player 1 visited (12, 11)
Player 3 visited (13, 7)
Player 3 visited (12, 7)
Player 1 visited (12, 12)
Player 0 visited (4, 8)
Player 0 visited (5, 8)
Player 3 visited (13, 6)
Player 1 visited (12, 13)
Player 0 visited (6, 8)
Player 3 visited (13, 5)
Player 1 visited (12, 14)
Player 0 visited (7, 8)
Player 3 visited (13, 4)
Player 0 visited (8, 8)
Player 1 visited (12, 13)
Player 3 visited (13, 3)
Player 0 visited (9, 8)
Player 1 visited (11, 13)
Player 3 visited (13, 2)
Player 1 visited (12, 12)
Player 1 visited (11, 12)
Player 0 visited (10, 8)
Player 3 visited (13, 1)
Player 1 visited (11, 11)
Player 0 visited (10, 9)
Player 3 visited (12, 1)
Player 1 visited (11, 10)
Player 1 visited (10, 10)
Player 3 visited (12, 2)
Player 1 visited (10, 9)
Player 0 visited (13, 9)
Player 3 visited (12, 3)
Player 1 visited (10, 8)
Player 1 visited (9, 8)
Player 0 visited (13, 10)
Player 3 visited (12, 4)
Player 0 visited (12, 10)
Player 1 visited (8, 8)
Player 3 visited (12, 5)
Player 0 visited (12, 11)
Player 1 visited (7, 8)
Player 3 visited (12, 6)
Player 0 visited (12, 12)
Player 1 visited (7, 7)
Player 1 visited (6, 8)
Player 1 visited (6, 7)
Player 3 visited (12, 7)
Player 0 visited (12, 13)
Player 3 visited (11, 7)
Player 1 visited (5, 7)
Player 0 visited (12, 14)
Player 3 visited (10, 7)
Player 1 visited (4, 7)
Player 3 visited (9, 7)
Player 1 visited (3, 7)
Player 3 visited (9, 8)
Player 3 visited (8, 7)
Player 3 visited (8, 8)
Player 1 visited (2, 7)
Player 1 visited (2, 6)
Player 3 visited (7, 8)
Player 3 visited (7, 7)
Player 1 visited (2, 5)
Player 3 visited (6, 8)
Player 3 visited (5, 8)
Player 1 visited (2, 4)
Player 1 visited (1, 4)
Player 3 visited (4, 8)
Player 1 visited (2, 3)
Player 1 visited (1, 3)
Player 3 visited (4, 9)
Player 1 visited (1, 2)
Player 3 visited (4, 10)
Player 1 visited (1, 1)
Player 3 visited (4, 11)
Player 3 visited (4, 12)
Player 3 visited (4, 13)
Player 3 visited (4, 14)
Player 3 visited (3, 14)
Player 3 visited (2, 14)
Player 3 visited (1, 14)
Player 3 visited (1, 13)
Player 3 visited (1, 12)
Player 3 visited (1, 11)
Player 3 visited (1, 10)
Player 3 visited (1, 9)
Player 3 visited (1, 8)
Player 3 visited (1, 7)
Player 3 visited (2, 7)
Player 3 visited (3, 7)
Player 3 visited (4, 7)
Player 3 visited (4, 6)
Player 3 visited (4, 7)
Player 3 visited (5, 7)
Player 3 visited (6, 7)
Player 3 visited (7, 7)
Player 3 visited (8, 7)
Player 3 visited (9, 7)
Player 3 visited (10, 7)
Player 3 visited (10, 6)
Player 3 visited (10, 5)
Player 3 visited (10, 4)
Player 3 visited (10, 3)
Player 3 visited (10, 2)
Player 3 visited (10, 1)
Player 3 visited (11, 1)
Terminated
 Overall Summary
BlockID: (1, 1), Visited:5 times
BlockID: (13, 9), Visited:9 times
BlockID: (2, 10), Visited:9 times
BlockID: (4, 14), Visited:13 times
BlockID: (12, 5), Visited:16 times
BlockID: (12, 10), Visited:25 times
BlockID: (13, 8), Visited:11 times
BlockID: (5, 8), Visited:32 times
BlockID: (6, 5), Visited:11 times
BlockID: (3, 7), Visited:30 times
BlockID: (13, 3), Visited:10 times
BlockID: (10, 6), Visited:9 times
BlockID: (4, 6), Visited:9 times
BlockID: (6, 2), Visited:11 times
BlockID: (5, 1), Visited:17 times
BlockID: (9, 1), Visited:15 times
BlockID: (4, 4), Visited:6 times
BlockID: (8, 2), Visited:6 times
BlockID: (2, 6), Visited:23 times
BlockID: (1, 6), Visited:9 times
BlockID: (7, 8), Visited:38 times
BlockID: (12, 2), Visited:11 times
BlockID: (9, 7), Visited:27 times
BlockID: (1, 12), Visited:8 times
BlockID: (11, 14), Visited:5 times
BlockID: (13, 2), Visited:8 times
BlockID: (10, 3), Visited:8 times
BlockID: (1, 11), Visited:11 times
BlockID: (6, 6), Visited:11 times
BlockID: (10, 7), Visited:29 times
BlockID: (1, 5), Visited:10 times
BlockID: (6, 4), Visited:12 times
BlockID: (4, 10), Visited:30 times
BlockID: (2, 4), Visited:16 times
BlockID: (1, 4), Visited:15 times
BlockID: (1, 9), Visited:8 times
BlockID: (4, 1), Visited:19 times
BlockID: (1, 8), Visited:8 times
BlockID: (1, 7), Visited:9 times
BlockID: (4, 3), Visited:7 times
BlockID: (6, 1), Visited:21 times
BlockID: (11, 12), Visited:19 times
BlockID: (4, 7), Visited:38 times
BlockID: (12, 4), Visited:13 times
BlockID: (1, 3), Visited:13 times
BlockID: (11, 1), Visited:11 times
BlockID: (2, 7), Visited:30 times
BlockID: (12, 7), Visited:27 times
BlockID: (13, 7), Visited:10 times
BlockID: (12, 1), Visited:12 times
BlockID: (10, 5), Visited:9 times
BlockID: (1, 10), Visited:14 times
BlockID: (13, 5), Visited:10 times
BlockID: (2, 5), Visited:18 times
BlockID: (8, 5), Visited:6 times
BlockID: (4, 12), Visited:17 times
BlockID: (7, 1), Visited:15 times
BlockID: (12, 13), Visited:12 times
BlockID: (9, 8), Visited:42 times
BlockID: (6, 8), Visited:35 times
BlockID: (8, 8), Visited:44 times
BlockID: (11, 11), Visited:23 times
BlockID: (4, 13), Visited:17 times
BlockID: (4, 9), Visited:29 times
BlockID: (3, 10), Visited:12 times
BlockID: (11, 10), Visited:24 times
BlockID: (11, 13), Visited:15 times
BlockID: (3, 14), Visited:7 times
BlockID: (10, 2), Visited:8 times
BlockID: (10, 9), Visited:35 times
BlockID: (2, 3), Visited:12 times
BlockID: (12, 6), Visited:20 times
BlockID: (3, 1), Visited:10 times
BlockID: (10, 8), Visited:41 times
BlockID: (1, 2), Visited:10 times
BlockID: (1, 13), Visited:5 times
BlockID: (13, 6), Visited:9 times
BlockID: (6, 3), Visited:12 times
BlockID: (8, 4), Visited:6 times
BlockID: (13, 1), Visited:5 times
BlockID: (13, 4), Visited:11 times
BlockID: (4, 11), Visited:17 times
BlockID: (12, 14), Visited:5 times
BlockID: (8, 3), Visited:6 times
BlockID: (4, 5), Visited:7 times
BlockID: (11, 7), Visited:21 times
BlockID: (10, 1), Visited:17 times
BlockID: (10, 4), Visited:9 times
BlockID: (6, 7), Visited:42 times
BlockID: (4, 2), Visited:9 times
BlockID: (2, 2), Visited:7 times
BlockID: (12, 11), Visited:14 times
BlockID: (8, 6), Visited:7 times
BlockID: (13, 10), Visited:8 times
BlockID: (12, 3), Visited:12 times
BlockID: (8, 7), Visited:41 times
BlockID: (8, 1), Visited:17 times
BlockID: (1, 14), Visited:5 times
BlockID: (2, 14), Visited:5 times
BlockID: (5, 7), Visited:32 times
BlockID: (10, 10), Visited:18 times
BlockID: (7, 7), Visited:44 times
BlockID: (4, 8), Visited:31 times
BlockID: (2, 1), Visited:8 times
BlockID: (12, 12), Visited:17 times
Summary for each player:
Player 0:
BlockID: (1, 1), Visited:1 times
BlockID: (1, 2), Visited:1 times
BlockID: (1, 3), Visited:1 times
BlockID: (1, 4), Visited:1 times
BlockID: (1, 5), Visited:2 times
BlockID: (1, 6), Visited:4 times
BlockID: (1, 7), Visited:1 times
BlockID: (1, 8), Visited:1 times
BlockID: (1, 9), Visited:1 times
BlockID: (1, 10), Visited:4 times
BlockID: (1, 11), Visited:4 times
BlockID: (1, 12), Visited:3 times
BlockID: (1, 13), Visited:1 times
BlockID: (1, 14), Visited:1 times
BlockID: (2, 1), Visited:2 times
BlockID: (2, 2), Visited:1 times
BlockID: (2, 3), Visited:1 times
BlockID: (2, 4), Visited:1 times
BlockID: (2, 5), Visited:3 times
BlockID: (2, 6), Visited:5 times
BlockID: (2, 7), Visited:5 times
BlockID: (2, 10), Visited:3 times
BlockID: (2, 14), Visited:1 times
BlockID: (3, 1), Visited:2 times
BlockID: (3, 7), Visited:5 times
BlockID: (3, 10), Visited:4 times
BlockID: (3, 14), Visited:1 times
BlockID: (4, 1), Visited:4 times
BlockID: (4, 2), Visited:3 times
BlockID: (4, 3), Visited:2 times
BlockID: (4, 4), Visited:1 times
BlockID: (4, 5), Visited:1 times
BlockID: (4, 6), Visited:1 times
BlockID: (4, 7), Visited:5 times
BlockID: (4, 8), Visited:6 times
BlockID: (4, 9), Visited:6 times
BlockID: (4, 10), Visited:6 times
BlockID: (4, 11), Visited:1 times
BlockID: (4, 12), Visited:1 times
BlockID: (4, 13), Visited:1 times
BlockID: (4, 14), Visited:1 times
BlockID: (5, 1), Visited:3 times
BlockID: (5, 7), Visited:5 times
BlockID: (5, 8), Visited:7 times
BlockID: (6, 1), Visited:3 times
BlockID: (6, 2), Visited:1 times
BlockID: (6, 3), Visited:2 times
BlockID: (6, 4), Visited:2 times
BlockID: (6, 5), Visited:2 times
BlockID: (6, 6), Visited:2 times
BlockID: (6, 7), Visited:6 times
BlockID: (6, 8), Visited:7 times
BlockID: (7, 1), Visited:3 times
BlockID: (7, 7), Visited:6 times
BlockID: (7, 8), Visited:8 times
BlockID: (8, 1), Visited:4 times
BlockID: (8, 2), Visited:1 times
BlockID: (8, 3), Visited:1 times
BlockID: (8, 4), Visited:1 times
BlockID: (8, 5), Visited:1 times
BlockID: (8, 6), Visited:1 times
BlockID: (8, 7), Visited:5 times
BlockID: (8, 8), Visited:9 times
BlockID: (9, 1), Visited:4 times
BlockID: (9, 7), Visited:4 times
BlockID: (9, 8), Visited:9 times
BlockID: (10, 1), Visited:5 times
BlockID: (10, 2), Visited:4 times
BlockID: (10, 3), Visited:4 times
BlockID: (10, 4), Visited:4 times
BlockID: (10, 5), Visited:3 times
BlockID: (10, 6), Visited:1 times
BlockID: (10, 7), Visited:3 times
BlockID: (10, 8), Visited:9 times
BlockID: (10, 9), Visited:7 times
BlockID: (10, 10), Visited:2 times
BlockID: (11, 1), Visited:2 times
BlockID: (11, 7), Visited:3 times
BlockID: (11, 10), Visited:4 times
BlockID: (11, 11), Visited:2 times
BlockID: (11, 12), Visited:2 times
BlockID: (11, 13), Visited:2 times
BlockID: (11, 14), Visited:1 times
BlockID: (12, 1), Visited:3 times
BlockID: (12, 2), Visited:4 times
BlockID: (12, 3), Visited:4 times
BlockID: (12, 4), Visited:4 times
BlockID: (12, 5), Visited:4 times
BlockID: (12, 6), Visited:4 times
BlockID: (12, 7), Visited:5 times
BlockID: (12, 10), Visited:6 times
BlockID: (12, 11), Visited:3 times
BlockID: (12, 12), Visited:3 times
BlockID: (12, 13), Visited:2 times
BlockID: (12, 14), Visited:1 times
BlockID: (13, 1), Visited:1 times
BlockID: (13, 2), Visited:1 times
BlockID: (13, 3), Visited:2 times
BlockID: (13, 4), Visited:2 times
BlockID: (13, 5), Visited:1 times
BlockID: (13, 6), Visited:1 times
BlockID: (13, 7), Visited:1 times
BlockID: (13, 8), Visited:1 times
BlockID: (13, 9), Visited:1 times
BlockID: (13, 10), Visited:2 times
Player 1:
BlockID: (1, 1), Visited:1 times
BlockID: (1, 2), Visited:1 times
BlockID: (1, 3), Visited:2 times
BlockID: (1, 4), Visited:2 times
BlockID: (1, 5), Visited:1 times
BlockID: (1, 6), Visited:1 times
BlockID: (1, 7), Visited:2 times
BlockID: (1, 8), Visited:1 times
